ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
LA-077,"Pointe Coupee Parish",Louisiana,82.8,124,2.7,80.1
LA-079,"Rapides Parish",Louisiana,82.5,120,2.5,80
LA-081,"Red River Parish",Louisiana,82.5,121,3.3,79.2
LA-083,"Richland Parish",Louisiana,81.5,117,2.2,79.3
LA-085,"Sabine Parish",Louisiana,83.3,127,4.4,79
LA-087,"St. Bernard Parish",Louisiana,84.4,129,4.2,80.2
LA-089,"St. Charles Parish",Louisiana,84.4,129,3.9,80.5
LA-091,"St. Helena Parish",Louisiana,82.4,126,3.3,79.1
LA-093,"St. James Parish",Louisiana,84,129,3.7,80.3
LA-095,"St. John the Baptist Parish",Louisiana,84.2,129,3.8,80.4
LA-097,"St. Landry Parish",Louisiana,82.8,122,2.5,80.4
LA-099,"St. Martin Parish",Louisiana,83.3,126,3,80.3
LA-101,"St. Mary Parish",Louisiana,83.4,129,3.1,80.3
LA-103,"St. Tammany Parish",Louisiana,83.6,129,4.2,79.4
LA-105,"Tangipahoa Parish",Louisiana,83.2,129,3.8,79.4
LA-107,"Tensas Parish",Louisiana,81.7,116,2.2,79.5
LA-109,"Terrebonne Parish",Louisiana,84.2,129,3.8,80.4
LA-111,"Union Parish",Louisiana,80.8,115,2.4,78.4
LA-113,"Vermilion Parish",Louisiana,83.4,123,2.6,80.8
LA-115,"Vernon Parish",Louisiana,83.4,127,4.3,79.1
LA-117,"Washington Parish",Louisiana,82.9,127,3.8,79.1
LA-119,"Webster Parish",Louisiana,81.6,118,2.8,78.8
LA-121,"West Baton Rouge Parish",Louisiana,83.2,125,3,80.2
LA-123,"West Carroll Parish",Louisiana,81.2,113,2.1,79.1
LA-125,"West Feliciana Parish",Louisiana,82.3,120,2.6,79.7
LA-127,"Winn Parish",Louisiana,81.9,121,2.8,79.1
ME-001,"Androscoggin County",Maine,62.6,71,0.6,62
ME-003,"Aroostook County",Maine,59,63,0.1,58.9
ME-005,"Cumberland County",Maine,62.9,71,0.7,62.2
ME-007,"Franklin County",Maine,57.8,42,-0.5,58.3
ME-009,"Hancock County",Maine,61.1,73,0.4,60.7
ME-011,"Kennebec County",Maine,62,51,0,62
ME-013,"Knox County",Maine,60.3,60,0.4,59.9
ME-015,"Lincoln County",Maine,61.3,61,0.5,60.8
ME-017,"Oxford County",Maine,60.3,57,0.2,60.1
ME-019,"Penobscot County",Maine,60.9,54,-0.1,61
ME-021,"Piscataquis County",Maine,59.2,61,0.2,59
ME-023,"Sagadahoc County",Maine,62.1,68,0.6,61.5
ME-025,"Somerset County",Maine,59.1,59,0.1,59
ME-027,"Waldo County",Maine,61.1,56,0.2,60.9
ME-029,"Washington County",Maine,60.8,94,1.1,59.7
ME-031,"York County",Maine,62.9,51,0.1,62.8
MD-001,"Allegany County",Maryland,70.2,98,1.5,68.7
MD-003,"Anne Arundel County",Maryland,73.7,87,1.4,72.3
MD-005,"Baltimore County",Maryland,72.1,102,1.8,70.3
MD-009,"Calvert County",Maryland,73.2,82,1,72.2
MD-011,"Caroline County",Maryland,72.9,92,1.5,71.4
MD-013,"Carroll County",Maryland,70.7,93,1.6,69.1
MD-015,"Cecil County",Maryland,71.2,73,0.6,70.6
MD-017,"Charles County",Maryland,73.9,91,1.5,72.4
MD-019,"Dorchester County",Maryland,73.8,97,1.7,72.1
MD-021,"Frederick County",Maryland,71.1,88,1.2,69.9
MD-023,"Garrett County",Maryland,65.5,89,1.4,64.1
MD-025,"Harford County",Maryland,71.6,77,0.9,70.7
MD-027,"Howard County",Maryland,71.6,90,1.6,70
MD-029,"Kent County",Maryland,72.9,86,1.3,71.6
MD-031,"Montgomery County",Maryland,71.7,85,1.3,70.4
MD-033,"Prince George's County",Maryland,73.1,86,1.3,71.8
MD-035,"Queen Anne's County",Maryland,72.9,89,1.3,71.6
MD-037,"St. Mary's County",Maryland,73.7,86,1.3,72.4
MD-039,"Somerset County",Maryland,74.1,101,2.1,72
MD-041,"Talbot County",Maryland,73.2,78,0.9,72.3
MD-043,"Washington County",Maryland,71.2,92,1.5,69.7
MD-045,"Wicomico County",Maryland,73.6,101,2.1,71.5
MD-047,"Worcester County",Maryland,73.3,105,2.3,71
MD-510,"Baltimore City",Maryland,74.3,106,2.3,72
MD-511,"Washington, D.C.",Washington, D.C.,73.4,88,1.4,72
MA-001,"Barnstable County",Massachusetts,64.9,101,1.5,63.4
MA-003,"Berkshire County",Massachusetts,63.4,91,1.1,62.3
MA-005,"Bristol County",Massachusetts,67,101,1.8,65.2
MA-007,"Dukes County",Massachusetts,65.1,98,1.4,63.7
MA-009,"Essex County",Massachusetts,65.1,68,0.4,64.7
MA-011,"Franklin County",Massachusetts,64.9,87,1,63.9
MA-013,"Hampden County",Massachusetts,65.8,82,0.7,65.1
MA-015,"Hampshire County",Massachusetts,65.4,76,0.7,64.7
MA-017,"Middlesex County",Massachusetts,66.7,85,1.2,65.5
MA-019,"Nantucket County",Massachusetts,62.7,97,1.5,61.2
MA-021,"Norfolk County",Massachusetts,67,98,1.6,65.4
MA-023,"Plymouth County",Massachusetts,66.9,102,1.9,65
MA-025,"Suffolk County",Massachusetts,67.2,102,1.8,65.4
MA-027,"Worcester County",Massachusetts,65.4,88,1.2,64.2
MI-001,"Alcona County",Michigan,64,98,2.2,61.8
MI-003,"Alger County",Michigan,60.8,97,1.6,59.2
MI-005,"Allegan County",Michigan,68,77,1.1,66.9
MI-007,"Alpena County",Michigan,64,99,2.4,61.6
MI-009,"Antrim County",Michigan,63.8,83,1.7,62.1
MI-011,"Arenac County",Michigan,66.3,102,2.3,64
MI-013,"Baraga County",Michigan,60.7,96,2,58.7
MI-015,"Barry County",Michigan,68.4,88,1.6,66.8
MI-017,"Bay County",Michigan,67.6,100,2.2,65.4
MI-019,"Benzie County",Michigan,64.3,104,3,61.3
MI-021,"Berrien County",Michigan,69.2,84,1.6,67.6
MI-023,"Branch County",Michigan,68.9,92,1.7,67.2
MI-025,"Calhoun County",Michigan,68.8,98,2,66.8
MI-027,"Cass County",Michigan,69.3,88,1.8,67.5
MI-029,"Charlevoix County",Michigan,63.5,78,1.4,62.1
MI-031,"Cheboygan County",Michigan,62.6,76,0.9,61.7
MI-033,"Chippewa County",Michigan,58.9,67,0.3,58.6
MI-035,"Clare County",Michigan,64.9,79,1.3,63.6
MI-037,"Clinton County",Michigan,69,105,2.5,66.5
MI-039,"Crawford County",Michigan,63.2,75,1,62.2
MI-041,"Delta County",Michigan,61.2,81,1.1,60.1
MI-043,"Dickinson County",Michigan,62.5,93,2,60.5
MI-045,"Eaton County",Michigan,68.6,96,2,66.6
MI-047,"Emmet County",Michigan,62,81,1.2,60.8
MI-049,"Genesee County",Michigan,68.2,97,2.1,66.1
MI-051,"Gladwin County",Michigan,66.2,91,1.8,64.4
MI-053,"Gogebic County",Michigan,61.2,77,1.2,60
MI-055,"Grand Traverse County",Michigan,64.4,98,2.4,62
MI-057,"Gratiot County",Michigan,68,93,1.9,66.1
MI-059,"Hillsdale County",Michigan,68.5,94,1.8,66.7
MI-061,"Houghton County",Michigan,61.6,99,2.2,59.4
MI-063,"Huron County",Michigan,65.9,105,2.3,63.6
MI-065,"Ingham County",Michigan,68.5,102,2.2,66.3
MI-067,"Ionia County",Michigan,68.2,92,1.9,66.3
MI-069,"Iosco County",Michigan,65,100,2.2,62.8
MI-071,"Iron County",Michigan,61.1,88,1.8,59.3
MI-073,"Isabella County",Michigan,66.4,81,1.4,65
MI-075,"Jackson County",Michigan,68.1,88,1.7,66.4
MI-077,"Kalamazoo County",Michigan,69.1,90,1.8,67.3
MI-079,"Kalkaska County",Michigan,63.6,83,1.4,62.2
MI-081,"Kent County",Michigan,67.5,84,1.5,66
MI-083,"Keweenaw County",Michigan,59.7,106,2.4,57.3
MI-085,"Lake County",Michigan,64.2,71,0.7,63.6
MI-087,"Lapeer County",Michigan,68,101,2.3,65.7
MI-089,"Leelanau County",Michigan,63.9,106,2.9,61
MI-091,"Lenawee County",Michigan,69.8,105,2.2,67.6
MI-093,"Livingston County",Michigan,68.1,96,2.3,65.8
MI-095,"Luce County",Michigan,58.9,71,0.6,58.3
MI-097,"Mackinac County",Michigan,59.6,65,0.6,59
MI-099,"Macomb County",Michigan,69.7,107,2.9,66.8
MI-101,"Manistee County",Michigan,64.1,83,1.8,62.3
MI-103,"Marquette County",Michigan,61.5,100,2.2,59.3
MI-105,"Mason County",Michigan,64,76,1.1,62.9
MI-107,"Mecosta County",Michigan,64.7,66,0.4,64.3
MI-109,"Menominee County",Michigan,63.1,84,1.4,61.7
MI-111,"Midland County",Michigan,67.6,93,1.8,65.8
MI-113,"Missaukee County",Michigan,63.8,80,1.4,62.4
MI-115,"Monroe County",Michigan,71.3,112,3.2,68.1
MI-117,"Montcalm County",Michigan,66.7,85,1.5,65.2
MI-119,"Montmorency County",Michigan,63.4,81,1.2,62.2
MI-121,"Muskegon County",Michigan,66.4,83,1.6,64.8
MI-123,"Newaygo County",Michigan,65,68,0.5,64.5
MI-125,"Oakland County",Michigan,68.7,102,2.6,66.1
MI-127,"Oceana County",Michigan,65,79,1.4,63.6
MI-129,"Ogemaw County",Michigan,65.1,104,2.3,62.8
MI-131,"Ontonagon County",Michigan,61.9,94,1.9,60
MI-133,"Osceola County",Michigan,63.9,72,0.8,63.1
MI-135,"Oscoda County",Michigan,63.8,85,1.6,62.2
MI-137,"Otsego County",Michigan,62.7,77,1,61.7
MI-139,"Ottawa County",Michigan,67.3,79,1.3,66
MI-141,"Presque Isle County",Michigan,63.2,87,1.6,61.6
MI-143,"Roscommon County",Michigan,64.1,82,1.5,62.6
MI-145,"Saginaw County",Michigan,68.3,96,2,66.3
MI-147,"St. Clair County",Michigan,68.7,103,2.7,66
MI-149,"St. Joseph County",Michigan,69.2,85,1.5,67.7
MI-151,"Sanilac County",Michigan,66.6,99,2,64.6
MI-153,"Schoolcraft County",Michigan,60.6,69,0.6,60
MI-155,"Shiawassee County",Michigan,68.3,92,2,66.3
MI-157,"Tuscola County",Michigan,67.4,96,1.9,65.5
MI-159,"Van Buren County",Michigan,68.5,79,1.3,67.2
MI-161,"Washtenaw County",Michigan,68.7,99,2.3,66.4
MI-163,"Wayne County",Michigan,70.6,113,3.2,67.4
MI-165,"Wexford County",Michigan,64.1,85,1.9,62.2
MN-001,"Aitkin County",Minnesota,63.8,98,2.2,61.6
MN-003,"Anoka County",Minnesota,69.4,107,2.9,66.5
MN-005,"Becker County",Minnesota,65.8,102,2.4,63.4
MN-007,"Beltrami County",Minnesota,62.8,79,0.9,61.9
MN-009,"Benton County",Minnesota,68.1,111,3.3,64.8
MN-011,"Big Stone County",Minnesota,71,120,5,66
MN-013,"Blue Earth County",Minnesota,71,111,3.2,67.8
MN-015,"Brown County",Minnesota,72.5,119,4.5,68
MN-017,"Carlton County",Minnesota,61.7,86,1.3,60.4
MN-019,"Carver County",Minnesota,70.2,112,3.1,67.1
MN-021,"Cass County",Minnesota,64.5,97,2,62.5
MN-023,"Chippewa County",Minnesota,71.3,120,4.5,66.8
MN-025,"Chisago County",Minnesota,67.6,95,2,65.6
MN-027,"Clay County",Minnesota,68.3,108,3.4,64.9
MN-029,"Clearwater County",Minnesota,63.6,92,1.3,62.3
MN-031,"Cook County",Minnesota,57.4,78,0.6,56.8
MN-033,"Cottonwood County",Minnesota,71.4,120,4.6,66.8
MN-035,"Crow Wing County",Minnesota,65.9,101,2.8,63.1
MN-037,"Dakota County",Minnesota,70.7,113,3.4,67.3
MN-039,"Dodge County",Minnesota,68.5,107,2.8,65.7
MN-041,"Douglas County",Minnesota,67.5,108,3.4,64.1
MN-043,"Faribault County",Minnesota,70.5,109,2.7,67.8
MN-045,"Fillmore County",Minnesota,67.3,85,1.4,65.9
MN-047,"Freeborn County",Minnesota,69.5,108,2.7,66.8
MN-049,"Goodhue County",Minnesota,69.2,108,2.8,66.4
MN-051,"Grant County",Minnesota,69.5,119,4.4,65.1
MN-053,"Hennepin County",Minnesota,70.6,112,3.5,67.1
MN-055,"Houston County",Minnesota,68.4,84,1.5,66.9
MN-057,"Hubbard County",Minnesota,64.4,95,1.9,62.5
MN-059,"Isanti County",Minnesota,67.9,99,2.5,65.4
MN-061,"Itasca County",Minnesota,62.3,86,1.3,61
MN-063,"Jackson County",Minnesota,70.9,114,4.1,66.8
MN-065,"Kanabec County",Minnesota,66.1,99,2.4,63.7
MN-067,"Kandiyohi County",Minnesota,69.6,111,3.7,65.9
MN-069,"Kittson County",Minnesota,64.8,101,2.6,62.2
MN-071,"Koochiching County",Minnesota,61.6,81,0.9,60.7
MN-073,"Lac qui Parle County",Minnesota,71,116,4.2,66.8
MN-075,"Lake County",Minnesota,59.4,78,0.9,58.5
MN-077,"Lake of the Woods County",Minnesota,62.3,82,1.1,61.2
MN-079,"Le Sueur County",Minnesota,69.9,107,2.6,67.3
MN-081,"Lincoln County",Minnesota,68.9,109,3.2,65.7
MN-083,"Lyon County",Minnesota,70.6,109,3.7,66.9
MN-085,"McLeod County",Minnesota,70.3,114,3.5,66.8
MN-087,"Mahnomen County",Minnesota,65.1,98,2.1,63
MN-089,"Marshall County",Minnesota,64.8,96,2.1,62.7
MN-091,"Martin County",Minnesota,71.2,112,3.7,67.5
MN-093,"Meeker County",Minnesota,69.2,109,3.2,66
MN-095,"Mille Lacs County",Minnesota,66.5,102,2.7,63.8
MN-097,"Morrison County",Minnesota,66.7,103,2.5,64.2
MN-099,"Mower County",Minnesota,68.3,103,2.6,65.7
MN-101,"Murray County",Minnesota,69.8,111,3.6,66.2
MN-103,"Nicollet County",Minnesota,71,112,3.2,67.8
MN-105,"Nobles County",Minnesota,70.2,110,3.5,66.7
MN-107,"Norman County",Minnesota,67,97,2.4,64.6
MN-109,"Olmsted County",Minnesota,68.3,100,2.6,65.7
MN-111,"Otter Tail County",Minnesota,67.5,108,3.2,64.3
MN-113,"Pennington County",Minnesota,64.4,90,1.4,63
MN-115,"Pine County",Minnesota,64.3,95,1.9,62.4
MN-117,"Pipestone County",Minnesota,69.4,111,3.4,66
MN-119,"Polk County",Minnesota,65.8,96,2,63.8
MN-121,"Pope County",Minnesota,68.9,114,4.2,64.7
MN-123,"Ramsey County",Minnesota,70.6,111,3.4,67.2
MN-125,"Red Lake County",Minnesota,64.7,88,1.2,63.5
MN-127,"Redwood County",Minnesota,71.8,119,4.2,67.6
MN-129,"Renville County",Minnesota,71.5,119,4.3,67.2
MN-131,"Rice County",Minnesota,69.6,107,2.8,66.8
MN-133,"Rock County",Minnesota,70.4,109,3.4,67
MN-135,"Roseau County",Minnesota,63.4,93,2,61.4
MN-137,"St. Louis County",Minnesota,60.8,82,1,59.8
MN-139,"Scott County",Minnesota,70.5,111,3,67.5
MN-141,"Sherburne County",Minnesota,69.1,111,3.4,65.7
MN-143,"Sibley County",Minnesota,70.9,114,3.5,67.4
MN-145,"Stearns County",Minnesota,68.2,107,3.1,65.1
MN-147,"Steele County",Minnesota,69.2,107,2.8,66.4
MN-149,"Stevens County",Minnesota,70.3,122,4.9,65.4
MN-151,"Swift County",Minnesota,70.7,120,4.7,66
MN-153,"Todd County",Minnesota,66.1,98,2,64.1
MN-155,"Traverse County",Minnesota,70.3,119,4.6,65.7
MN-157,"Wabasha County",Minnesota,68.6,97,2.2,66.4
MN-159,"Wadena County",Minnesota,65.4,95,1.8,63.6
MN-161,"Waseca County",Minnesota,69.8,109,2.8,67
MN-163,"Washington County",Minnesota,69.8,106,3,66.8
MN-165,"Watonwan County",Minnesota,73,120,5.2,67.8
MN-167,"Wilkin County",Minnesota,69.6,117,4.2,65.4
MN-169,"Winona County",Minnesota,68.2,92,1.9,66.3
MN-171,"Wright County",Minnesota,69.7,110,3.4,66.3
MN-173,"Yellow Medicine County",Minnesota,71.1,116,3.9,67.2
MS-001,"Adams County",Mississippi,81.2,116,2,79.2
MS-003,"Alcorn County",Mississippi,78.9,116,2.8,76.1
MS-005,"Amite County",Mississippi,81.9,125,3.1,78.8
MS-007,"Attala County",Mississippi,80.3,119,2.9,77.4
MS-009,"Benton County",Mississippi,78.4,106,2,76.4
MS-011,"Bolivar County",Mississippi,80.3,102,1.3,79
MS-013,"Calhoun County",Mississippi,80.2,113,2.7,77.5
MS-015,"Carroll County",Mississippi,81.4,123,3.6,77.8
MS-017,"Chickasaw County",Mississippi,80.9,119,3.2,77.7
MS-019,"Choctaw County",Mississippi,80,119,2.9,77.1
MS-021,"Claiborne County",Mississippi,81.4,115,2.3,79.1
MS-023,"Clarke County",Mississippi,82.1,126,3.8,78.3
MS-025,"Clay County",Mississippi,81.4,119,3.4,78
MS-027,"Coahoma County",Mississippi,79.9,99,1.3,78.6
MS-029,"Copiah County",Mississippi,81.2,116,2.4,78.8
MS-031,"Covington County",Mississippi,82.4,126,3.8,78.6
MS-033,"DeSoto County",Mississippi,79.9,104,1.7,78.2
MS-035,"Forrest County",Mississippi,82.4,124,3.3,79.1
MS-037,"Franklin County",Mississippi,81.3,118,2.5,78.8
MS-039,"George County",Mississippi,82.8,128,3.8,79
MS-041,"Greene County",Mississippi,82.6,126,3.5,79.1
MS-043,"Grenada County",Mississippi,80.9,118,2.9,78
MS-045,"Hancock County",Mississippi,83.1,128,4.3,78.8
MS-047,"Harrison County",Mississippi,83.1,129,4.1,79
MS-049,"Hinds County",Mississippi,81.1,114,2.2,78.9
MS-051,"Holmes County",Mississippi,81.8,123,3.3,78.5
MS-053,"Humphreys County",Mississippi,82.4,124,3.1,79.3
MS-055,"Issaquena County",Mississippi,81.7,117,2.5,79.2
MS-057,"Itawamba County",Mississippi,80.6,121,3.5,77.1
MS-059,"Jackson County",Mississippi,83.1,128,4,79.1
MS-061,"Jasper County",Mississippi,82,128,3.9,78.1
MS-063,"Jefferson County",Mississippi,81.2,115,2.3,78.9
MS-065,"Jefferson Davis County",Mississippi,82.2,125,3.6,78.6
MS-067,"Jones County",Mississippi,83,128,4.1,78.9
MS-069,"Kemper County",Mississippi,80.6,118,2.7,77.9
MS-071,"Lafayette County",Mississippi,79.6,106,2.2,77.4
MS-073,"Lamar County",Mississippi,82.3,124,3.3,79
MS-075,"Lauderdale County",Mississippi,81,118,3.1,77.9
MS-077,"Lawrence County",Mississippi,82.3,122,3.4,78.9
MS-079,"Leake County",Mississippi,80.2,117,2.6,77.6
MS-081,"Lee County",Mississippi,81.3,123,3.8,77.5
MS-083,"Leflore County",Mississippi,82.3,123,3.4,78.9
MS-085,"Lincoln County",Mississippi,81.7,121,3.1,78.6
MS-087,"Lowndes County",Mississippi,81.7,120,3.5,78.2
MS-089,"Madison County",Mississippi,81.2,119,2.5,78.7
MS-091,"Marion County",Mississippi,82.8,126,3.6,79.2
MS-093,"Marshall County",Mississippi,78.9,104,1.8,77.1
MS-095,"Monroe County",Mississippi,80.9,114,3,77.9
MS-097,"Montgomery County",Mississippi,80.1,117,2.8,77.3
MS-099,"Neshoba County",Mississippi,79.9,115,2.6,77.3
MS-101,"Newton County",Mississippi,80.7,122,3.1,77.6
MS-103,"Noxubee County",Mississippi,81.4,119,3.3,78.1
MS-105,"Oktibbeha County",Mississippi,81.4,123,3.6,77.8
MS-107,"Panola County",Mississippi,79.9,104,1.8,78.1
MS-109,"Pearl River County",Mississippi,82.6,127,3.8,78.8
MS-111,"Perry County",Mississippi,82.6,126,3.5,79.1
MS-113,"Pike County",Mississippi,82.5,127,3.7,78.8
MS-115,"Pontotoc County",Mississippi,80.6,120,3.3,77.3
MS-117,"Prentiss County",Mississippi,80.1,119,3.4,76.7
MS-119,"Quitman County",Mississippi,80.3,104,1.6,78.7
MS-121,"Rankin County",Mississippi,80.6,115,2.2,78.5
MS-123,"Scott County",Mississippi,80.4,119,2.7,77.7
MS-125,"Sharkey County",Mississippi,82,119,2.7,79.3
MS-127,"Simpson County",Mississippi,81.2,119,2.7,78.5
MS-129,"Smith County",Mississippi,81.6,124,3.4,78.2
MS-131,"Stone County",Mississippi,82.5,127,3.7,78.8
MS-133,"Sunflower County",Mississippi,81.4,113,2.3,79.1
MS-135,"Tallahatchie County",Mississippi,81,114,2.4,78.6
MS-137,"Tate County",Mississippi,79.7,103,1.6,78.1
MS-139,"Tippah County",Mississippi,78.9,115,2.6,76.3
MS-141,"Tishomingo County",Mississippi,79.2,117,3.1,76.1
MS-143,"Tunica County",Mississippi,80.2,106,1.6,78.6
MS-145,"Union County",Mississippi,80.1,117,3.1,77
MS-147,"Walthall County",Mississippi,82.6,127,3.7,78.9
MS-149,"Warren County",Mississippi,81.5,119,2.4,79.1
MS-151,"Washington County",Mississippi,81.5,115,2.1,79.4
MS-153,"Wayne County",Mississippi,82.7,127,3.9,78.8
MS-155,"Webster County",Mississippi,80.1,117,2.8,77.3
MS-157,"Wilkinson County",Mississippi,81.6,120,2.4,79.2
MS-159,"Winston County",Mississippi,80.3,119,3.1,77.2
MS-161,"Yalobusha County",Mississippi,80.1,110,2.4,77.7
MS-163,"Yazoo County",Mississippi,82,121,2.9,79.1
MO-001,"Adair County",Missouri,73.4,103,2.2,71.2
MO-003,"Andrew County",Missouri,74.5,102,2.1,72.4
MO-005,"Atchison County",Missouri,74.4,105,2.4,72
MO-007,"Audrain County",Missouri,74.4,96,1.9,72.5
MO-009,"Barry County",Missouri,75.2,105,2.3,72.9
MO-011,"Barton County",Missouri,76.2,95,1.5,74.7
MO-013,"Bates County",Missouri,76,98,1.9,74.1
MO-015,"Benton County",Missouri,75,96,1.7,73.3
MO-017,"Bollinger County",Missouri,75.4,87,1.2,74.2
MO-019,"Boone County",Missouri,75.5,103,2.4,73.1
MO-021,"Buchanan County",Missouri,74.3,91,1.4,72.9
MO-023,"Butler County",Missouri,77.1,93,1.4,75.7
MO-025,"Caldwell County",Missouri,73.8,93,1.7,72.1
MO-027,"Callaway County",Missouri,75.8,107,2.7,73.1
MO-029,"Camden County",Missouri,76.5,114,3.3,73.2
MO-031,"Cape Girardeau County",Missouri,76.3,95,1.9,74.4
MO-033,"Carroll County",Missouri,74.6,88,1.5,73.1
MO-035,"Carter County",Missouri,74.9,96,1.6,73.3
MO-037,"Cass County",Missouri,76,108,2.9,73.1
MO-039,"Cedar County",Missouri,76.5,105,2.4,74.1
MO-041,"Chariton County",Missouri,75.4,103,2.4,73
MO-043,"Christian County",Missouri,75,112,2.7,72.3
MO-045,"Clark County",Missouri,73.9,97,1.9,72
MO-047,"Clay County",Missouri,75.5,105,2.6,72.9
MO-049,"Clinton County",Missouri,74.1,99,2.1,72
MO-051,"Cole County",Missouri,76.5,108,2.9,73.6
MO-053,"Cooper County",Missouri,75.6,104,2.7,72.9
MO-055,"Crawford County",Missouri,74.3,104,2.3,72
MO-057,"Dade County",Missouri,76.2,106,2.3,73.9
MO-059,"Dallas County",Missouri,75.5,111,2.8,72.7
MO-061,"Daviess County",Missouri,74,102,2.1,71.9
MO-063,"DeKalb County",Missouri,74,103,2.1,71.9
MO-065,"Dent County",Missouri,73.9,102,1.9,72
MO-067,"Douglas County",Missouri,75,111,2.8,72.2
MO-069,"Dunklin County",Missouri,78.8,100,1.8,77
MO-071,"Franklin County",Missouri,75.1,107,2.5,72.6
MO-073,"Gasconade County",Missouri,75.1,107,2.6,72.5
MO-075,"Gentry County",Missouri,74.6,108,3.1,71.5
MO-077,"Greene County",Missouri,75.2,110,2.7,72.5
MO-079,"Grundy County",Missouri,73.7,97,1.7,72
MO-081,"Harrison County",Missouri,73.9,103,2.8,71.1
MO-083,"Henry County",Missouri,75.5,95,1.6,73.9
MO-085,"Hickory County",Missouri,75.6,104,2.3,73.3
MO-087,"Holt County",Missouri,74.8,101,2.1,72.7
MO-089,"Howard County",Missouri,75.7,105,2.8,72.9
MO-091,"Howell County",Missouri,75.6,116,3.4,72.2
MO-093,"Iron County",Missouri,73,90,1.2,71.8
MO-095,"Jackson County",Missouri,75.8,107,2.7,73.1
MO-097,"Jasper County",Missouri,76.8,105,2.3,74.5
MO-099,"Jefferson County",Missouri,76.1,112,2.7,73.4
MO-101,"Johnson County",Missouri,75.7,105,2.8,72.9
MO-103,"Knox County",Missouri,73.8,101,2.2,71.6
MO-105,"Laclede County",Missouri,76.1,117,3.5,72.6
MO-107,"Lafayette County",Missouri,75.4,104,2.5,72.9
MO-109,"Lawrence County",Missouri,75.3,104,2.2,73.1
MO-111,"Lewis County",Missouri,74,92,1.6,72.4
MO-113,"Lincoln County",Missouri,74.9,103,2.3,72.6
MO-115,"Linn County",Missouri,73.9,89,1.5,72.4
MO-117,"Livingston County",Missouri,74.1,89,1.5,72.6
MO-119,"McDonald County",Missouri,76.5,106,2.6,73.9
MO-121,"Macon County",Missouri,73.9,95,1.8,72.1
MO-123,"Madison County",Missouri,73.7,83,0.8,72.9
MO-125,"Maries County",Missouri,76.2,115,3.2,73
MO-127,"Marion County",Missouri,74.6,99,1.9,72.7
MO-129,"Mercer County",Missouri,73.1,100,1.9,71.2
MO-131,"Miller County",Missouri,76.7,115,3.4,73.3
MO-133,"Mississippi County",Missouri,78.3,112,2.5,75.8
MO-135,"Moniteau County",Missouri,75.8,105,2.7,73.1
MO-137,"Monroe County",Missouri,74,93,1.5,72.5
MO-139,"Montgomery County",Missouri,74.8,103,2.4,72.4
MO-141,"Morgan County",Missouri,75.4,106,2.7,72.7
MO-143,"New Madrid County",Missouri,79,110,2.4,76.6
MO-145,"Newton County",Missouri,76.7,111,2.9,73.8
MO-147,"Nodaway County",Missouri,74.7,109,3.3,71.4
MO-149,"Oregon County",Missouri,75.9,113,2.8,73.1
MO-151,"Osage County",Missouri,76.3,110,3,73.3
MO-153,"Ozark County",Missouri,76,115,3.1,72.9
MO-155,"Pemiscot County",Missouri,79.1,103,2,77.1
MO-157,"Perry County",Missouri,75.3,94,1.7,73.6
MO-159,"Pettis County",Missouri,75.3,102,2.4,72.9
MO-161,"Phelps County",Missouri,75.8,113,3.1,72.7
MO-163,"Pike County",Missouri,74.5,101,2.3,72.2
MO-165,"Platte County",Missouri,75.6,101,2.5,73.1
MO-167,"Polk County",Missouri,75.8,112,2.8,73
MO-169,"Pulaski County",Missouri,77.2,122,4.3,72.9
MO-171,"Putnam County",Missouri,72.8,95,1.7,71.2
MO-173,"Ralls County",Missouri,74.5,98,2,72.5
MO-175,"Randolph County",Missouri,74.9,102,2.4,72.6
MO-177,"Ray County",Missouri,74.7,95,1.9,72.8
MO-179,"Reynolds County",Missouri,73.4,92,1.3,72.1
MO-181,"Ripley County",Missouri,76.4,98,1.9,74.5
MO-183,"St. Charles County",Missouri,76.1,106,2.5,73.6
MO-185,"St. Clair County",Missouri,75.9,99,1.7,74.2
MO-186,"Ste. Genevieve County",Missouri,75,98,1.7,73.3
MO-187,"St. Francois County",Missouri,73.8,96,1.4,72.4
MO-189,"St. Louis County",Missouri,76.6,106,2.6,74
MO-195,"Saline County",Missouri,75.5,104,2.5,73
MO-197,"Schuyler County",Missouri,73.3,103,2.4,70.9
MO-199,"Scotland County",Missouri,73.9,107,2.6,71.3
MO-201,"Scott County",Missouri,78.1,112,2.6,75.5
MO-203,"Shannon County",Missouri,74.7,103,2.2,72.5
MO-205,"Shelby County",Missouri,73.6,95,1.6,72
MO-207,"Stoddard County",Missouri,77.9,102,1.9,76
MO-209,"Stone County",Missouri,75.6,109,2.4,73.2
MO-211,"Sullivan County",Missouri,73.1,92,1.5,71.6
MO-213,"Taney County",Missouri,76.4,114,3.1,73.3
MO-215,"Texas County",Missouri,74.9,110,2.9,72
MO-217,"Vernon County",Missouri,76,91,1.4,74.6
MO-219,"Warren County",Missouri,74.9,107,2.5,72.4
MO-221,"Washington County",Missouri,74.3,106,2.3,72
MO-223,"Wayne County",Missouri,75,88,1.1,73.9
MO-225,"Webster County",Missouri,74.2,111,2.5,71.7
MO-227,"Worth County",Missouri,74.3,109,3.5,70.8
